Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,782875,65352,0,635264,208719
2021-03-09,852243,65926,0,689979,228371
2021-03-10,888669,66031,0,714468,240413
2021-03-11,925745,66227,0,742190,249964
2021-03-12,1010164,67021,0,807213,270154
2021-03-13,1054301,69072,0,843361,280195
2021-03-14,1058547,69115,0,846852,280993
2021-03-15,1137935,74967,0,915549,297537
2021-03-16,1418038,82435,0,1188099,312374
2021-03-17,1927633,89070,0,1695387,321316
2021-03-18,2070647,95005,0,1832205,333447
2021-03-19,2197281,101174,0,1954868,343587
2021-03-20,2311553,107378,0,2066624,352307
2021-03-21,2319019,107808,0,2073902,352925
2021-03-22,2450722,113327,0,2203735,360314
2021-03-23,2587961,124751,0,2339164,373548
2021-03-24,2648861,127294,0,2398567,377588
2021-03-25,2808035,131207,0,2555550,383692
2021-03-26,2937109,133243,0,2682089,388263
2021-03-27,3052866,135202,0,2795930,392138
2021-03-28,3064449,135210,0,2807351,392308
2021-03-29,3216117,136924,0,2956227,396814
2021-03-30,3370469,139738,0,3106682,403525
2021-03-31,3433560,141297,0,3167015,407842
2021-04-01,3512033,141781,0,3242747,411067
2021-04-02,3579491,142408,0,3307374,414525
2021-04-03,3695037,143446,0,3416400,422083
2021-04-04,3744439,143892,0,3463563,424768
2021-04-05,3860792,144425,0,3573568,431649
2021-04-06,3897660,144684,0,3608126,434218
2021-04-07,3995250,145437,0,3698854,441833
2021-04-08,4210540,146408,0,3899533,457415
2021-04-09,4427729,147850,0,4099009,476570
2021-04-10,4614422,149328,0,4270854,492896
2021-04-11,4680676,149990,0,4333798,496868
2021-04-12,4945030,152985,0,4571524,526491
2021-04-13,5110713,156460,0,4714085,553088
2021-04-14,5129787,157699,0,4730173,557313
2021-04-15,5323845,172708,0,4899502,597051
2021-04-16,5480952,199162,0,5040807,639307
2021-04-17,5591622,240926,0,5158591,673957
2021-04-18,5614487,255745,0,5189796,680436
2021-04-19,5737576,288756,0,5299053,727279
2021-04-20,5931615,312000,0,5443386,800229
2021-04-21,6030655,322945,0,5512304,841296
2021-04-22,6169331,333703,0,5602945,900089
2021-04-23,6289015,339373,0,5673943,954445
2021-04-24,6484344,343411,0,5788568,1039187
2021-04-25,6502725,344350,0,5801281,1045794
2021-04-26,6641410,349708,0,5885170,1105948
2021-04-27,6754168,352774,0,5947361,1159581
2021-04-28,6781790,362293,0,5967887,1176196
2021-04-29,6860875,368302,0,6006391,1222786
2021-04-30,7000996,375938,0,6051350,1325584
2021-05-01,7043313,382103,0,6069726,1355690
2021-05-02,7044065,382111,0,6069760,1356416
2021-05-03,7123825,387629,0,6092349,1419105
2021-05-04,7180573,396731,0,6110419,1466885
2021-05-05,7198151,402333,0,6118358,1482126
2021-05-06,7298154,407131,0,6137985,1567300
2021-05-07,7456923,412346,0,6168780,1700489
2021-05-08,7535842,416141,0,6187280,1764703
2021-05-09,7536339,416217,0,6187652,1764904
2021-05-10,7642945,423755,0,6216882,1849818
2021-05-11,7709579,431710,0,6238776,1902513
2021-05-12,7740456,445050,0,6257014,1928492
2021-05-13,7761751,451210,0,6267551,1945410
2021-05-14,7794422,465390,0,6290354,1969458
2021-05-15,7914783,503057,0,6426197,1991643
2021-05-16,7925542,525938,0,6454137,1997343
2021-05-17,7959006,560846,0,6510777,2009075
2021-05-18,7990522,583045,0,6556628,2016939
2021-05-19,8000634,590468,0,6571984,2019118
2021-05-20,8005495,593912,0,6579668,2019739
